x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date,,,,X-accel,Y-accel,Z-accel
0.970352,0.266251,-0.9272,1.368274,44033.39666,2001-01-01 12:13:53.397 +0000,,,,45.16822478,11.2207163,-42.65967732
0.989929,0.248581,-0.759598,1.272298,44033.37707,2001-01-01 12:13:53.377 +0000,,,,51.08366369,11.26690042,-36.65738106
0.965714,0.279144,-0.627136,1.184831,44033.35748,2001-01-01 12:13:53.357 +0000,,,,54.59376805,13.6268851,-31.95845404
0.926788,0.320023,-0.514236,1.107154,44033.33788,2001-01-01 12:13:53.338 +0000,,,,56.83416032,16.80110134,-27.67571143
0.895233,0.309647,-0.457108,1.051794,44033.31829,2001-01-01 12:13:53.318 +0000,,,,58.33679929,17.12149284,-25.7597371
0.933304,0.360397,-0.450943,1.097402,44033.2987,2001-01-01 12:13:53.299 +0000,,,,58.26245119,19.1722474,-24.26255089
1.019333,0.434494,-0.466888,1.202418,44033.27911,2001-01-01 12:13:53.279 +0000,,,,57.96626517,21.18313952,-22.84819668
1.07933,0.502625,-0.415375,1.261,44033.25952,2001-01-01 12:13:53.260 +0000,,,,58.86281419,23.49020749,-19.23243598
1.056625,0.473251,-0.354263,1.210755,44033.23989,2001-01-01 12:13:53.240 +0000,,,,60.77393131,23.00882946,-17.0135001
0.991379,0.406479,-0.168427,1.084631,44033.2203,2001-01-01 12:13:53.220 +0000,,,,66.06749087,22.00962624,-8.933326998
1.015671,0.311081,-0.029343,1.062647,44033.20071,2001-01-01 12:13:53.201 +0000,,,,72.8999683,17.022154,-1.5823155
1.161118,0.228546,-0.031769,1.183823,44033.18112,2001-01-01 12:13:53.181 +0000,,,,78.76031502,11.13127248,-1.537770234
1.216537,0.179688,-0.003738,1.229742,44033.16152,2001-01-01 12:13:53.162 +0000,,,,81.59611486,8.402055711,-0.174160152
1.287811,0.11586,0.041336,1.293673,44033.14193,2001-01-01 12:13:53.142 +0000,,,,84.54360492,5.13823531,1.831051504
1.186478,0.118118,0.187454,1.206988,44033.12234,2001-01-01 12:13:53.122 +0000,,,,79.42233936,5.616054189,8.934614239
1.081055,0.063049,0.439117,1.168537,44033.10275,2001-01-01 12:13:53.103 +0000,,,,67.68878372,3.092924379,22.07274968
1.073822,-0.047684,0.641922,1.251971,44033.08315,2001-01-01 12:13:53.083 +0000,,,,59.05989123,-2.182760655,30.84578862
1.066315,-0.156586,0.711182,1.29125,44033.06356,2001-01-01 12:13:53.064 +0000,,,,55.66973976,-6.965229614,33.41986597
1.056641,-0.225143,0.681961,1.277595,44033.04397,2001-01-01 12:13:53.044 +0000,,,,55.79733157,-10.1498955,32.26153317
0.875595,-0.263748,0.741821,1.17751,44033.02441,2001-01-01 12:13:53.024 +0000,,,,48.03892756,-12.94337931,39.04950789
0.545975,-0.344925,0.908859,1.114938,44033.00482,2001-01-01 12:13:53.005 +0000,,,,29.32026966,-18.02108691,54.60373449
0.333618,-0.520279,1.034348,1.204934,44032.98522,2001-01-01 12:13:52.985 +0000,,,,16.07387141,-25.58123121,59.14040029
0.157562,-0.577805,1.070923,1.227013,44032.96565,2001-01-01 12:13:52.966 +0000,,,,7.377782491,-28.09298052,60.78434743
0.037048,-0.608459,0.850418,1.04633,44032.94605,2001-01-01 12:13:52.946 +0000,,,,2.029129073,-35.55734788,54.36676961
-0.074966,-0.610809,0.811035,1.01808,44032.92646,2001-01-01 12:13:52.926 +0000,,,,-4.222781876,-36.8671875,52.80972355
-0.343079,-0.696304,1.130753,1.371548,44032.90687,2001-01-01 12:13:52.907 +0000,,,,-14.48579284,-30.50924226,55.53129278
-0.52034,-0.702133,1.154114,1.447661,44032.88728,2001-01-01 12:13:52.887 +0000,,,,-21.0654941,-29.01325182,52.86606063
-0.511627,-0.604584,0.770889,1.105239,44032.86768,2001-01-01 12:13:52.868 +0000,,,,-27.5750852,-33.1625654,44.22565839
-0.597137,-0.650299,0.391495,0.96578,44032.84809,2001-01-01 12:13:52.848 +0000,,,,-38.19176886,-42.32546645,23.91412308
-0.714844,-0.628021,0.454758,1.054617,44032.8285,2001-01-01 12:13:52.829 +0000,,,,-42.67378047,-36.54805056,25.54416847
-0.832458,-0.52713,0.560822,1.133743,44032.80891,2001-01-01 12:13:52.809 +0000,,,,-47.2444053,-27.70676363,29.6475998
-0.899734,-0.493637,0.43187,1.113423,44032.78932,2001-01-01 12:13:52.789 +0000,,,,-53.90870034,-26.31787701,22.82240251
-0.695648,-0.489899,-0.020264,0.85108,44032.76972,2001-01-01 12:13:52.770 +0000,,,,-54.82243259,-35.14307291,-1.364326404
-0.645065,-0.521851,-0.363327,0.905784,44032.7501,2001-01-01 12:13:52.750 +0000,,,,-45.41112992,-35.17895495,-23.64815235
-0.774094,-0.508987,-0.316727,0.979084,44032.73051,2001-01-01 12:13:52.731 +0000,,,,-52.24451169,-31.32289204,-18.87431229
-0.937958,-0.499634,0.031967,1.063212,44032.71092,2001-01-01 12:13:52.711 +0000,,,,-61.9079558,-28.02965916,1.722938685
-0.878693,-0.288239,0.033279,0.925359,44032.69132,2001-01-01 12:13:52.691 +0000,,,,-71.72622859,-18.14896354,2.060990452
-0.543365,-0.29718,-0.46666,0.775457,44032.67173,2001-01-01 12:13:52.672 +0000,,,,-44.48345369,-22.53404029,-36.99801456
-0.403534,-0.388229,-0.871063,1.035525,44032.65214,2001-01-01 12:13:52.652 +0000,,,,-22.93522593,-22.01876817,-57.26493742
-0.52153,-0.437027,-0.910294,1.136495,44032.63255,2001-01-01 12:13:52.633 +0000,,,,-27.3157162,-22.61513937,-53.22244852
-0.718414,-0.405487,-0.774704,1.131682,44032.61295,2001-01-01 12:13:52.613 +0000,,,,-39.40660251,-20.99611529,-43.20098728
-0.837219,-0.150162,-0.595551,1.038347,44032.59336,2001-01-01 12:13:52.593 +0000,,,,-53.73594596,-8.315063223,-34.99861377
-0.726166,-0.021362,-0.767303,1.056659,44032.57377,2001-01-01 12:13:52.574 +0000,,,,-43.41112955,-1.15840245,-46.56541914
-0.340393,0.00885,-1.17453,1.222893,44032.55418,2001-01-01 12:13:52.554 +0000,,,,-16.16179299,0.41464971,-73.83259735
-0.197159,-0.01767,-1.340988,1.355519,44032.53459,2001-01-01 12:13:52.535 +0000,,,,-8.363283589,-0.746905689,-81.60295534
-0.356995,0.061859,-1.332092,1.380486,44032.51502,2001-01-01 12:13:52.515 +0000,,,,-14.98706644,2.568260266,-74.7842469
-0.540482,0.146591,-1.196899,1.32143,44032.49543,2001-01-01 12:13:52.495 +0000,,,,-24.14284849,6.369137555,-64.92590736
-0.552856,0.198853,-1.170273,1.309477,44032.47584,2001-01-01 12:13:52.476 +0000,,,,-24.97330177,8.734543963,-63.34125363
-0.336548,0.297302,-1.377121,1.448487,44032.45625,2001-01-01 12:13:52.456 +0000,,,,-13.43514012,11.84413416,-71.93965164
