x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date,,,,X-axis,Y-axis,Z-axis
0.010727,-0.02359,-0.994873,0.99521,39658.91591,2001-01-01 11:00:58.916 +0000,,,,0.620589665,-1.365157031,-89.96132589
0.010086,-0.022125,-1.003738,1.004033,39658.89632,2001-01-01 11:00:58.896 +0000,,,,0.573291385,-1.257915741,-89.96625196
0.010422,-0.025558,-1.004196,1.004575,39658.87673,2001-01-01 11:00:58.877 +0000,,,,0.591752448,-1.451686404,-89.95653432
0.010422,-0.023315,-1.003738,1.004063,39658.85713,2001-01-01 11:00:58.857 +0000,,,,0.592356615,-1.325540544,-89.96277198
0.01239,-0.021423,-0.999893,1.000199,39658.83754,2001-01-01 11:00:58.838 +0000,,,,0.709684574,-1.227333982,-89.96490658
0.012497,-0.022446,-1.0047,1.005028,39658.81795,2001-01-01 11:00:58.818 +0000,,,,0.708951832,-1.273649892,-89.96236334
0.012161,-0.02449,-1.004395,1.004767,39658.79836,2001-01-01 11:00:58.798 +0000,,,,0.690245704,-1.390443707,-89.9573518
0.010895,-0.022247,-1.002792,1.003098,39658.77876,2001-01-01 11:00:58.779 +0000,,,,0.620436702,-1.267214956,-89.96494102
0.008636,-0.02179,-1.002411,1.002685,39658.75919,2001-01-01 11:00:58.759 +0000,,,,0.492184324,-1.242189739,-89.96859983
0.009964,-0.024261,-1.004837,1.005179,39658.7396,2001-01-01 11:00:58.740 +0000,,,,0.565064399,-1.376302372,-89.96077879
0.011505,-0.023605,-1.00061,1.000955,39658.72001,2001-01-01 11:00:58.720 +0000,,,,0.657989355,-1.350389741,-89.96051669
0.012192,-0.021561,-1.001663,1.001969,39658.70042,2001-01-01 11:00:58.700 +0000,,,,0.695875904,-1.230883982,-89.9649077
0.013824,-0.024536,-1.002762,1.003157,39658.68082,2001-01-01 11:00:58.681 +0000,,,,0.787178759,-1.39753276,-89.95468438
0.013062,-0.022369,-1.00383,1.004164,39658.66123,2001-01-01 11:00:58.661 +0000,,,,0.742287384,-1.271463927,-89.96170344
0.011185,-0.021011,-0.998978,0.999261,39658.64164,2001-01-01 11:00:58.642 +0000,,,,0.641854422,-1.205976744,-89.96750647
0.011032,-0.022064,-1.002655,1.002958,39658.62205,2001-01-01 11:00:58.622 +0000,,,,0.628414469,-1.257133988,-89.96522794
0.010178,-0.023697,-1.002747,1.003078,39658.60245,2001-01-01 11:00:58.602 +0000,,,,0.579622256,-1.349920385,-89.96199625
